Rank,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,"Hamilton, Bermuda",146.33,89.06,118.97,153.3,145.37,91.24
2,"New York, NY, United States",100.0,100.0,100.0,100.0,100.0,100.0
3,"Honolulu, HI, United States",95.92,65.58,81.42,101.64,83.1,76.42
4,"San Francisco, CA, United States",93.35,109.35,100.99,93.5,90.85,126.95
5,"Anchorage, AK, United States",92.21,37.63,66.13,95.29,75.02,107.68
6,"Oakland, CA, United States",89.59,84.14,86.98,94.96,74.55,92.3
7,"Seattle, WA, United States",89.48,68.7,79.55,85.59,88.1,121.2
8,"Boston, MA, United States",89.29,77.45,83.64,90.0,90.71,99.43
9,"Queens, NY, United States",87.99,75.71,82.12,78.91,87.15,112.09
10,"Washington, DC, United States",84.39,76.72,80.72,81.65,81.48,112.51
11,"Jersey City, NJ, United States",83.54,62.7,73.58,85.06,70.71,114.87
12,"Bend, OR, United States",82.78,40.93,62.79,90.11,72.18,83.64
13,"Minneapolis, MN, United States",82.47,43.9,64.04,81.22,78.67,111.91
14,"Los Angeles, CA, United States",81.92,74.12,78.19,79.26,89.11,98.51
15,"Fremont, CA, United States",81.77,74.04,78.08,80.17,84.16,121.55
16,"Fort Lauderdale, FL, United States",81.32,55.84,69.15,90.86,75.33,97.73
17,"Milwaukee, WI, United States",80.96,36.07,59.51,87.79,66.61,77.38
18,"Chicago, IL, United States",80.38,57.72,69.55,75.85,76.36,106.32
19,"Charleston, SC, United States",80.24,50.19,65.89,82.04,74.62,97.35
20,"San Diego, CA, United States",80.22,67.85,74.31,80.28,78.7,112.72
21,"Pittsburgh, PA, United States",79.69,37.64,59.6,83.01,63.23,100.3
22,"Salem, OR, United States",79.66,34.1,57.89,86.59,61.37,84.2
23,"Saint Paul, MN, United States",79.61,42.58,61.92,79.3,73.95,100.01
24,"Tampa, FL, United States",79.53,42.39,61.78,85.48,69.8,104.1
25,"Irvine, CA, United States",79.21,69.9,74.76,72.42,79.58,126.46
26,"Philadelphia, PA, United States",79.12,47.6,64.06,79.86,68.59,85.04
27,"Portland, OR, United States",78.68,48.59,64.3,77.52,70.55,100.7
28,"San Jose, CA, United States",78.55,82.92,80.64,74.99,78.75,131.28
29,"Miami, FL, United States",78.14,60.17,69.55,75.3,73.89,84.06
30,"Kingston, Canada",76.96,29.83,54.44,83.89,60.7,68.34
31,"Sacramento, CA, United States",76.73,47.41,62.73,75.18,68.26,101.99
32,"Surrey, Canada",76.59,41.06,59.62,80.92,65.56,93.17
33,"Burnaby, Canada",76.51,45.93,61.9,76.24,72.31,82.28
34,"Bellingham, WA, United States",76.32,41.7,59.78,77.95,63.68,82.94
35,"Vancouver, Canada",76.22,52.09,64.69,78.57,71.8,92.47
36,"Atlanta, GA, United States",76.22,49.44,63.42,76.96,64.35,120.43
37,"Birmingham, AL, United States",76.21,28.56,53.45,76.84,68.52,83.72
38,"Halifax, Canada",76.15,33.14,55.6,82.41,63.92,80.54
39,"Saint John's, Canada",76.14,21.53,50.05,75.73,67.8,58.08
40,"Everett, WA, United States",75.93,44.88,61.1,73.46,84.23,97.83
41,"Fredericton, Canada",75.87,23.04,50.63,77.0,69.72,77.14
42,"Toronto, Canada",75.69,51.24,64.01,69.38,76.36,85.21
43,"Cleveland, OH, United States",75.64,39.21,58.24,77.65,68.39,79.05
44,"New Orleans, LA, United States",75.29,41.47,59.13,69.84,76.35,83.91
45,"Ann Arbor, MI, United States",74.25,49.36,62.36,75.83,63.23,113.42
46,"Denver, CO, United States",73.96,53.06,63.98,66.91,75.83,117.39
47,"Colorado Springs, CO, United States",73.9,36.44,56.01,74.67,68.5,102.9
48,"Red Deer, Canada",73.76,22.26,49.15,72.35,65.17,109.51
49,"Calgary, Canada",73.65,30.79,53.17,68.87,70.9,113.16
50,"Spokane, WA, United States",73.5,29.66,52.55,70.58,72.27,88.99
51,"Long Beach, CA, United States",73.43,56.12,65.16,77.76,67.76,106.23
